中文名,外文名,QS
舍布鲁克大学,Université de Sherbrooke,951-1000
索罗卡巴大学,Universidade de Sorocaba,
斯特拉斯堡大学地球科学实验室与学院,"Université de Strasbourg, Ecole et Observatoire des Sciences de la Terre",
斯特拉斯堡大学欧洲化学、聚合物与材料学院,"Université de Strasbourg, Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",
斯特拉斯堡大学斯特拉斯堡生物技术高等学院,"Université de Strasbourg, Ecole Supérieure de Biotechnologie de Strasbourg",
斯特拉斯堡大学斯特拉斯堡经济管理学院,"Université de Strasbourg, EM Strasbourg: Ecole de Management de Strasbourg",
斯特拉斯堡大学斯特拉斯堡电信与物理学院,"Université de Strasbourg, Télécom Physique Strasbourg",
特鲁瓦技术大学,Université de Technologie de Troyes,
特莱姆森大学,Université  de Tlemcen – Abou Bekr Belkaid,
图卢兹大学,Université de Toulouse,
图卢兹第二大学,Université de Toulouse 2 Jean Jaurès,
图卢兹第三大学,Université de Toulouse 3 Paul Sabatier,
图尔大学,Université de Tours,
图尔大学综合理工学院,"Université de Tours, Ecole Polytechnique de l'Université de Tours",
山后-上杜罗大学,Universidade de Trás-os-Montes e Alto Douro,
瓦朗谢纳大学国立高等计算机、电子能源及机械自动化工程师学院,"Université de Valenciennes, Ecole Nationale Supérieure d'Ingénieurs en Informatique, Automatique Mécanique, Energétique Electronique",
凡尔赛大学,Université de Versailles Saint-Quentin-en-Yvelines,
比戈大学,Universidad de Vigo,
卡帕尼亚大学,"Università degli Studi della CAMPANIA ""Luigi Vanvitelli""",951-1000
图思雅大学,Università degli Studi della TUSCIA,
贝尔卡莫大学,Università degli Studi di BERGAMO,
卡西诺-南拉齐奥大学,Università degli studi di CASSINO e del LAZIO Meridionale,
马切拉塔大学,Università degli Studi di MACERATA,
摩德纳-雷焦艾米利亚大学,Università degli Studi di MODENA e REGGIO EMILIA,
那不勒斯费德里克二世大学,Università degli Studi di NAPOLI Federico II,
那不勒斯东方大学,"Università degli Studi di NAPOLI ""L'Orientale""",
那不勒斯帕特诺普大学,"Università degli Studi di NAPOLI ""Parthenope""",
帕尔玛大学,Università degli Studi di PARMA,
佛罗意大里克大学,"Università degli Studi di ROMA ""Foro Italico""",
罗马大学,"Università degli Studi di ROMA ""La Sapienza""",
萨勒诺大学,Università degli Studi di SALERNO,
特拉莫大学,Università degli Studi di TERAMO,
佩斯卡拉大学,"Università degli Studi ""G. d'Annunzio"" CHIETI-PESCARA",
英苏布里亚大学,Università degli Studi INSUBRIA Varese-Como,
罗马国际研究大学,Università degli Studi Internazionali di ROMA,
雷焦卡拉布里亚大学,"Università degli Studi ""Mediterranea"" di REGGIO CALABRIA",
考卡大学,Universidad del Cauca,
CEMA大学,Universidad del CEMA,
北方大学,Universidad del Norte,1201-1400
太平洋大学,Universidad del Pacífico,
金迪奥大学,Universidad del Quindío,
圣心大学（波多黎各）,Universidad del Sagrado Corazón（Puerto Rico）,
萨兰托大学,Università del SALENTO,
萨尔瓦多大学,Universidad del Salvador,
阿泰马哈克山谷大学,Universidad del Valle de Atemajac,
危地马拉山谷大学,Universidad del Valle de Guatemala,1201-1400
墨西哥巴耶大学,Universidad del Valle de México,
苏利亚大学,Universidad del Zulia,
仰光口腔医学大学,"University of Dental Medicine,Yangon",
慕尼黑国防大学,Universität der Bundeswehr München,
柏林艺术大学,Universität der Künste Berlin,
安地列斯大学,Université des Antilles,
康斯坦丁门托里兄弟第一大学,Université des Frères Mentouri Constantine 1,
底特律梅西大学,University of Detroit Mercy,
哥伦比亚特区大学,University of the District of Columbia,
卡尔达斯弗朗西斯科何塞区域大学,Universidad Distrital Francisco José de Caldas,
圣卡塔琳娜南部大学,Universidade do Extremo Sul Catarinense,
圣心大学,Universidade do Sagrado Coração,
伊塔贾伊河谷大学,Universidade do Vale do Itajaí,
帕拉伊巴河谷大学,Universidade do Vale do Paraíba,
西诺斯谷大学,Universidade do Vale do Rio dos Sinos,
下戈里察大学,University of Donja Gorica,
苏托莫博士大学,Universitas Dr.Soetomo,
勒阿弗尔大学,Université du Havre,
勒阿弗尔大学高等物流管理学院,"Université du Havre, Institut Supérieur d'Etudes Logistiques",
滨海大学,Université du Littoral Côte d'Opale,
滨海大学敦刻尔克国际高等商学院,"Université du Littoral Côte d'Opale, Institut Supérieur de Commerce International de Dunkerque",
魁北克大学席库提米分校,Université du Québec à Chicoutimi,
魁北克大学里穆斯基分校,Université du Québec à Rimouski,
魁北克大学三河分校,Université du Québec à Trois-Rivières,
魁北克大学高等技术学院,"Université du Québec, École de Technologie Supérieure",
魁北克大学阿比蒂彼-特米斯卡明分校,Université du Québec en Abitibi-Témiscamingue,
魁北克大学渥塔崴分校,Université du Québec en Outaouais,
魁北克大学国立科学研究院,"Université du Québec, Institut national de la recherche scientifique",
土伦大学,Université du Sud Toulon-Var,
杜比克大学,University of Dubuque,
杜霍克大学,University of Duhok,
EAFIT大学,Universidad EAFIT,1001-1200
EAN大学,Universidad EAN,
东伦敦大学,University of East London,1001-1200
国际医药大学,University of East-West Medicine,
ECCI大学,Universidad ECCI,
卢布林经济与创新大学,University of Economics and Innovation in Lublin,
胡志明市经济大学,University of Economics Ho Chi Minh City,
爱德华多·孟德兰大学,Universidade Eduardo Mondlane,
拉合尔教育大学,"University of Education, Lahore",
温尼巴教育大学,"University of Education, Winneba",
恩布大学,University of Embu,
21世纪企业大学,Universidad Empresarial Siglo 21,
白沙瓦工程技术大学,"University of Engineering and Technology, Peshawar",
埃尔福特大学,Universität Erfurt,
美洲专业大学,Universidad Especializada de las Américas,
埃斯塔西奥·德·萨大学,Universidade Estácio de Sá,
南马纳比国立大学,Universidad Estatal del Sur de Manabí,
欧洲应用技术大学,University of Europe for Applied Sciences,
加纳利欧洲大学,Universidad Europea de Canarias,
马德里欧洲大学,Universidad Europea de Madrid,
瓦伦西亚欧洲大学,Universidad Europea de Valencia,
大西洋欧洲大学,Universidad Europea del Atlántico,
塞万提斯米格尔欧洲大学,Universidad Europea Miguel de Cervantes,
伊凡斯维尔大学,University of Evansville,
哥伦比亚埃克斯特纳多大学,Universidad Externado de Colombia,1001-1200
费萨拉巴德大学,The University of Faisalabad,
拉丁美洲一体化联邦大学,Universidade Federal da Integração Latino-Americana,
伊塔茹巴联邦大学,Universidade Federal de Itajubá,
里约热内卢州联邦大学,Universidade Federal do Estado do Rio de Janeiro,
费瓦利大学,Universidade Feevale,
费利克斯-乌弗埃-博瓦尼大学,Université Félix Houphouet -Boigny,
斐济大学,The University of Fiji,
金融与管理大学,The University of Finance and Administration,
财经大学,University of Finance and Economics,
芬德雷大学,The University of Findlay,
菲尼斯特拉大学,Universidad Finis Terrae,
创意艺术大学,University for the Creative Arts,
发展研究大学,University for Development Studies,
和平大学,University for Peace,
岘港大学附属外国语大学,"University of Foreign Language Studies, the University of Danang",
福特海尔大学,University of Fort Hare,
佛朗西斯科·马罗金大学,Universidad Francisco Marroquín,
弗雷泽河谷大学,University of the Fraser Valley,
维也纳应用艺术大学,Universität für angewandte Kunst Wien,
林茨艺术与工业设计大学,Universität für künstlerische und industrielle Gestaltung Linz,
格拉茨音乐与表演艺术大学,Universität für Musik und darstellende Kunst Graz,
维也纳音乐与表演艺术大学,Universität für Musik und darstellende Kunst Wien,
克莱姆斯继续教育大学,Universität für Weiterbildung Krems,
加布斯大学,University of Gabes,
高威大学,University of Galway,275
马来西亚测绘大学,Universiti Geomatika Malaysia,
格鲁吉亚大学,University of Georgia,
杰吉拉大学,University of Gezira,
格洛斯特郡大学,University of Gloucestershire,
高尔本格大学,University of Gour Banga,
格赖夫斯瓦尔德大学,Universität Greifswald,
关岛大学,University of Guam,
瓜鲁柳斯大学,Universidade Guarulhos,
哈特福德大学,University of Hartford,
塞塔特哈桑一世大学,"Université Hassan 1er, Settat",
夏威夷大学希罗分校,University of Hawaii at Hilo,
夏威夷大学西欧胡分校,University of Hawaii at West Oahu,
高地与群岛大学,University of the Highlands and Islands,
希尔德斯海姆大学,Universität Hildesheim,
诺门森大学,Universitas HKBP Nommensen,
古兰经与伊斯兰学大学,University of the Holy Quran and Islamic Sciences,
霍尔木兹甘大学,University of Hormozgan,
休斯顿大学明湖分校,University of Houston-Clear Lake,
休斯顿大学市中心分校,University of Houston-Downtown,
休斯顿大学维多利亚分校,University of Houston-Victoria,
人文大学,University of the Humanities,
伊比利亚美洲大学,"Universidad Iberoamericana, Ciudad de México",851-900
厄瓜多尔伊比利亚美洲大学,Universidad Iberoamericana del Ecuador,
伊本·图费勒大学,Université Ibn Tofaïl,
伊本·扎哈尔大学,Université Ibn Zohr,
ICESI大学,Universidad ICESI,1201-1400
伊利诺伊大学春田分校,University of Illinois at Springfield,
伊洛伊洛大学,University of Iloilo,
圣道大学,University of the Incarnate Word,
印第安纳波利斯大学,University of Indianapolis,
热舒夫信息技术与管理大学,University of Information Technology and Management in Rzeszow,
哥斯达黎加美洲大学,Universidad Interamericana de Costa Rica,
洲际大学,Universidad Intercontinental,
安达卢西亚国际大学,Universidad Internacional de Andalucía,
拉里奥哈国际大学,Universidad Internacional de La Rioja,
厄瓜多尔国际大学,Universidad Internacional del Ecuador,
伊比利亚美洲国际大学,Universidad Internacional Iberoamericana,
梅南德斯·佩拉尤国际大学,Universidad Internacional Menéndez Pelayo,
瓦伦西亚国际大学,Universitat Internacional Valenciana,
比亚努埃瓦国际大学,Universidad Internacional Villanueva,
蒙古内务大学,University of Internal Affairs,
苏丹阿都哈林姆阿占沙国际伊斯兰大学,Universiti Islam Antarabangsa Sultan Abdul Halim Mu'adzam Shah,
印度尼西亚伊斯兰大学,Universitas Islam Indonesia,
毛拉纳·马利克·易卜拉欣玛琅国立伊斯兰大学,Universitas Islam Negeri Maulana Malik Ibrahim Malang,
雅加达夏里夫·希达亚图拉国立伊斯兰大学,Universitas Islam Negeri Syarif Hidayatullah Jakarta,
威尼斯建筑大学,Università IUAV di VENEZIA,
贾夫纳大学,University of Jaffna,
占碑大学,University Jambi,
卡斯迪·梅尔巴大学,"Université Kasdi Merbah, Ouargla",
印度尼西亚阿特玛阇耶天主教大学,Universitas Katolik Indonesia Atma Jaya,
勃良安天主教大学,Universitas Katolik Parahyangan,
凯拉尼亚大学,University of Kelaniya,
喀拉拉大学,University of Kerala,
克拉根福大学,Universität Klagenfurt,683
科布伦茨大学,Universität Koblenz,
几内亚科菲安南大学,Université Kofi Annan de Guinée,
恩纳科雷大学,Università Kore di ENNA,
玛拉拿达基督教大学,Universitas Kristen Maranatha,
彼得拉基督教大学,Universitas Kristen Petra,
佩特拉基督教大学,Universitas Kristen Petra,
吉隆坡大学,Universiti Kuala Lumpur,1401+
库尔德斯坦埃尔比勒大学,University of Kurdistan Hewlêr,
拉文大学,University of La Verne,
拉基马尔瓦特大学,University of Lakki Marwat,
拉普兰大学,University of Lapland,
巴拿马拉丁大学,Universidad Latina de Panamá,
拉美大学,Universidad Latinoamericana,
拉丁美洲科学与技术大学,Universidad Latinoamericana de Ciencia y Tecnología,
法律大学,The University of Law,
列支敦士登大学,Universität Liechtenstein,
林波波大学,University of Limpopo,
伦敦大学,University of London,
斯特拉斯堡路易巴斯德大学,Université Louis Pasteur de Strasbourg,
安达卢西亚洛约拉大学,Universidad Loyola Andalucía,
安哥拉卢西亚达大学,Universidade Lusíada de Angola,
卢索佛纳大学,Universidade Lusófona,
卢塞恩大学,Universität Luzern,
里昂第一大学,Université Lyon 1 Claude Bernard,
里昂第二大学,Université Lyon 2 Lumière,
里昂第三大学,Université Lyon 3 Jean Moulin,
布默德斯穆罕默德·布加拉大学,Université M'Hamed Bougara - Boumerdes,
迈蒙尼德大学,Universidad Maimónides,
缅因大学法明顿分校,University of Maine at Farmington,
缅因大学普雷斯克艾尔分校,University of Maine at Presque Isle,
马来西亚计算机科学与工程大学,University Malaysia of Computer Science and Engineering,
马来西亚吉兰丹大学,Universiti Malaysia Kelantan,1401+
马来西亚彭亨苏丹阿卜杜拉大学,Universiti Malaysia Pahang Al-Sultan Abdullah,588
曼德勒大学,University of Mandalay,
马尼拉大学,The University of Manila,
马里安·恩古瓦比大学,Université Marien Ngouabi,
玛丽大学,University of Mary,
玛丽哈丁贝勒大学,University of Mary Hardin-Baylor,
玛丽华盛顿大学,University of Mary Washington,
美国马里兰东海岸大学,University of Maryland Eastern Shore,
马萨诸塞大学陈氏医学院,University of Massachusetts Chan Medical School,
马塔兰大学,Universitas Mataram,
毛里求斯大学,University of Mauritius,
棉兰区域大学,Universitas Medan Area,
曼德勒医科大学,"University of Medicine, Mandalay",
马六甲大学,University of Melaka,
默库布阿纳大学,Universitas Mercu Buana,
圣保罗卫理公会大学,Universidade Metodista de São Paulo,
都市大学,Universidad Metropolitana,
密歇根大学迪尔伯恩分校,"The University of Michigan, Dearborn",
密歇根大学弗林特分校,"The University of Michigan, Flint",
矿业与技术大学,University of Mines and Technology,
明尼苏达大学克鲁克斯顿分校,"University of Minnesota, Crookston",
明尼苏达大学莫里斯分校,"University of Minnesota, Morris",
密什科尔茨大学,University of Miskolc,1401+
密苏里大学哥伦比亚分校,University of Missouri-Columbia,721-730
莫比尔大学,University of Mobile,
穆罕默德·阿勒巴希尔·阿勒易卜拉欣-博尔吉·布阿雷里德大学,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj El-Anasser,
穆罕默德一世大学,Université Mohamed Premier,
蒙大拿大学密苏拉分校,The University of Montana-Missoula,
蒙特瓦洛大学,University of Montevallo,
莫勒图沃大学,University of Moratuwa,1401+
穆莱·伊斯梅尔大学,Université Moulay Ismaïl,
提济乌祖穆卢德·马迈里大学,Université Mouloud Mammeri de Tizi Ouzou,
橄榄山大学,University of Mount Olive,
蒙特圣文森大学,University of Mount Saint Vincent,
萨尔茨堡莫扎特大学,Universität Mozarteum Salzburg,
Mpu坦图尔大学,Universitas Mpu Tantular,
日惹穆罕默迪亚大学,Universitas Muhammadiyah Yogyakarta,1201-1400
穆拉沃曼大学,Universitas Mulawarman,
努桑塔拉多媒体大学,Universitas Multimedia Nusantara,
孟买大学,University of Mumbai,901-950
国立工程大学,Universidad Nacional de Ingeniería,
拉里奥哈国立大学,Universidad Nacional de La Rioja,
拉努斯国立大学,Universidad Nacional de Lanús,
洛马斯德萨莫拉国立大学,Universidad Nacional de Lomas de Zamora,
罗萨里奥国立大学,Universidad Nacional de Rosario,
二月三日国立大学,Universidad Nacional de Tres de Febrero,
特鲁希略国立大学,Universidad Nacional de Trujillo,
南部国立大学,Universidad Nacional del Sur,
埃塞基耶尔·萨莫拉西部平原实验国立大学,Universidad Nacional Experimental de los Llanos Occidentales Ezequiel Zamora,
安东尼奥·何塞·德·苏克雷国立实验理工大学,"Universidad Nacional Experimental Politécnica ""Antonio José de Sucre""",
费德里科·比利亚雷亚尔国立大学,Universidad Nacional Federico Villarreal,
伊卡圣路易斯·贡萨加国立大学,"Universidad Nacional ""San Luis Gonzaga"" de Ica",
纳米比亚大学,University of Namibia,
诺罗瓦尔大学,University of Narowal,
国家与世界经济大学,University of National and World Economy,
内布拉斯加大学科尼分校,The University of Nebraska at Kearney,
内布拉斯加大学医学中心,University of Nebraska Medical Center,
内布拉斯加大学奥马哈分校,University of Nebraska-Omaha,
雅加达国立大学,Universitas Negeri Jakarta,
玛琅国立大学,Universitas Negeri Malang,
万鸦老国立大学,Universitas Negeri Manado,
棉兰国立大学,Universitas Negeri Medan,
巴东国立大学,Universitas Negeri Padang,1401+
三宝垄国立大学,Universitas Negeri Semarang,
泗水国立大学,Universitas Negeri Surabaya,
日惹州大学,Universitas Negeri Yogyakarta,1401+
内格罗斯大学雷科莱塔校区,University of Negros Occidental-Recoleto,
纽黑文大学,University of New Haven,
新奥尔良大学,University of New Orleans,
纽约大学布拉格分校,University of New York in Prague,
伍拉赖大学,Universitas Ngurah Rai,
农戈科纳克里大学,Université Nongo Conakry,
北阿拉巴马大学,University of North Alabama,
北美大学（弗吉尼亚州）,University of North America,
北孟加拉邦大学,University of North Bengal,
北卡罗莱纳大学阿什维尔分校,The University of North Carolina at Asheville,
北卡罗莱纳大学彭布罗克分校,The University of North Carolina at Pembroke,
北卡罗莱纳大学艺术学院,University of North Carolina School of the Arts,
北佐治亚大学,University of North Georgia,
北德克萨斯大学沃思堡健康科学中心,University of North Texas Health Science Center at Fort Worth,
北安普顿大学,The University of Northampton,1201-1400
北不列颠哥伦比亚大学,The University of Northern British Columbia,1201-1400
北科罗拉多大学,University of Northern Colorado,
北爱荷华大学,University of Northern Iowa,
菲律宾北部大学,University of Northern Philippines,
圣保罗西北大学,University of Northwestern - St.Paul,
新戈里察大学,University of Nova Gorica,
七月九日大学,Universidade Nove de Julho,
那牙卡雷斯大学,University of Nueva Caceres,
安省理工大学,University of Ontario Institute of Technology,
瓦加3S大学,Université Ouaga3S,
太平洋大学（加利福尼亚州）,University of the Pacific,
巴勒斯坦大学,University of Palestine,
泛美大学,Universidad Panamericana,711-720
潘查希拉大学,University Pancasila,
潘加西南大学,University of Pangasinan,
巴黎西岱大学,Université Paris Cité,303
巴黎第九大学 - 巴黎文理研究大学,Université Paris Dauphine-PSL,
东巴黎大学,Université Paris-Est,
巴黎萨克雷大学综合理工学院,"Université Paris-Saclay, Ecole Polytechnique de l'Université Paris-Saclay",
巴黎文理大学,Université Paris Sciences et Lettres,
圣灵专业大学,Universidad Particular de Especialidades Espíritu Santo,
帕绍大学,Universität Passau,1201-1400
保利斯塔大学,Universidade Paulista,
哥伦比亚师范与技术大学,Universidad Pedagógica y Tecnológica de Colombia,
希望之光大学,Universitas Pelita Harapan,
伯罗奔尼撒大学,University of Peloponnese,
伽内什教育大学,Universitas Pendidikan Ganesha,
国家教育大学,Universitas Pendidikan Nasional,
苏丹依德理斯教育大学,Universiti Pendidikan Sultan Idris,851-900
民众大学,University of the People,
雷焦卡拉布里亚外国人大学,"Università per Stranieri ""Dante Alighieri"" di REGGIO CALABRIA",
佩鲁贾外国人大学,Università per Stranieri di PERUGIA,
锡耶纳外国人大学,Università per Stranieri di SIENA,
永恒大学,University of Perpetual Help System Dalta,
永恒大学拉古纳分校,University of Perpetual Help System Laguna,
帕提威大学,Universitas Pertiwi,
帕尧大学,University of Phayao,
菲律宾大学碧瑶分校,University of the Philippines Baguio,
菲律宾大学宿务学院,University of the Philippines – College of Cebu,
菲律宾大学洛斯班那斯分校,"University of the Philippines, Los Banoss",
菲律宾大学维萨亚斯分校,"University of the Philippines, Visayas",
凤凰城大学,University of Phoenix,
派克维尔大学,University of Pikeville,
比雷埃夫斯大学,University of Piraeus,
皮塔戈拉斯尤诺帕尔大学,Universidade Pitágoras Unopar,
墨西哥巴耶理工大学,Universidad Politécnica del Valle de México,
上法兰西综合理工大学,Université Polytechnique Hauts-de-France,
上法兰西综合理工大学国立高等计算机、电子能源与机械自动化工程师学院,"Université Polytechnique Hauts-de-France, Ecole nationale supérieure d'ingénieurs en informatique, automatique, mécanique, énergétique et électronique",
玻利瓦尔主教大学,Universidad Pontificia Bolivariana,1001-1200
卡米亚斯宗座大学,Universidad Pontificia Comillas,
萨拉曼卡天主教大学,Universidad Pontificia de Salamanca,
普埃布拉州人民自治大学,Universidad Popular Autónoma del Estado de Puebla,
波特兰大学,University of Portland,
恩里克王子葡萄牙大学,Universidade Portucalense Infante D. Henrique,
波托马克大学,University of the Potomac,
普莱斯蒂亚·穆理亚大学,Universitas Prasetiya Mulya,
麦肯锡长老会大学,Universidade Presbiteriana Mackenzie,1401+
印度尼西亚普瑞玛大学,Universitas Prima Indonesia,
普里什蒂纳大学,University of Pristina,
安特诺尔·奥雷戈私立大学,Universidad Privada Antenor Orrego,
北方私立大学,Universidad Privada del Norte,
山谷私立大学,Universidad Privada del Valle,
西非新教大学,Université Protestante de l'Afrique de l'Ouest,
波多黎各大学马亚圭斯分校（波多黎各）,"University of Puerto Rico, Mayagüez Campus Campus（Puerto Rico）",
波多黎各大学里奥彼得拉斯分校（波多黎各）,"University of Puerto Rico, Rio Piedras Campus（Puerto Rico）",
普吉特海湾大学,University of Puget Sound,
库姆大学,University of Qom,
拉贾斯坦大学,University of Rajasthan,
雷德兰兹大学,University of Redlands,
雷恩第一大学国立高等技术与应用科学学院,"Université Rennes 1, Ecole Nationale Supérieure des Sciences Appliquees et de Technologie de Lannion",
里卡多·帕尔马大学,Universidad Ricardo Palma,
里士满大学,University of Richmond,
黎刹系统大学,University of Rizal System,
雅加达萨希德大学,Universitas Sahid Jakarta,
马来西亚伊斯兰科学大学,Universiti Sains Islam Malaysia,
圣弗朗西斯大学韦恩堡分校,University of Saint Francis-Fort Wayne,
圣约瑟夫大学（康涅狄格州）,University of Saint Joseph (Connecticut),
土格加劳圣路易斯大学,University of Saint Louis Tuguegarao,
圣奥古斯丁大学,University of San Agustin,
圣卡洛斯大学,University of San Carlos,
圣地亚哥大学,University of San Diego,1401+
旧金山大学,University of San Francisco,1201-1400
圣若泽雷科莱托斯大学,University of San Jose-Recoletos,
圣帕布洛大学,Universidad San Pablo-CEU,
圣玛丽亚大学,Universidad Santa María,
圣玛利亚拉安提瓜天主教大学,Universidad Santa María La Antigua,
圣托马斯大学,University of Santo Tomas,951-1000
圣犹大·达陡大学,Universidade São Judas Tadeu,
萨瓦大学综合理工学院,"Université Savoie Mont Blanc, Ecole Polytechnique Universitaire de Savoie",
本努科技大学,"University of Science and Technology, Bannu",
河内科技大学,University of Science and Technology of Hanoi,
斯克兰顿大学,University of Scranton,
梭罗三一一大学,"Universitas Sebelas Maret, Surakarta",
雪兰莪大学,Universiti Selangor,
西潘王大学,Universidad Señor de Sipán,
塞尔吉奥·阿博莱达大学,Universidad Sergio Arboleda,
塞维里诺·桑布拉大学,Universidade Severino Sombra,
斯库台大学,"University of Shkodra ""Luigj Gurakuqi""",
锡亚尔科特大学,University of Sialkot,
塞拉利昂大学,The University of Sierra Leone,
西蒙·玻利瓦尔大学,Universidad Simón Bolívar,1001-1200
信德大学,University of Sindh,
森纳尔大学,University of Sinnar,
锡斯坦和俾路支斯坦大学,University of Sistan and Baluchestan,
巴黎第三大学,Université Sorbonne Nouvelle Paris 3,
巴黎索邦北大学,Université Sorbonne Paris Nord,1201-1400
南亚大学,University of South Asia,
南澳大利亚大学,University of South Australia,
南卡罗莱纳大学艾肯分校,University of South Carolina-Aiken,
南卡罗莱纳大学上州分校,University of South Carolina Upstate,
南太平洋大学,The University of the South Pacific,
南威尔士大学,University of South Wales,1201-1400
菲律宾东南大学,University of Southeastern Philippines,
南印第安纳大学,University of Southern Indiana,
南缅因大学,University of Southern Maine,
南棉兰老大学,University of Southern Mindanao,
斯里贾亚瓦德纳普拉大学,University of Sri Jayewardenepura,
圣奥古斯汀健康科学大学,University of St. Augustine for Health Sciences,
圣弗朗西斯大学（伊利诺伊州）,University of St. Francis,
圣拉萨尔大学,University of St. La Salle,
圣马克与圣约翰大学,"University of St Mark and St John, Plymouth",
圣托马斯大学（德克萨斯州）,University of St. Thomas,
圣托马斯大学（明尼苏达州）,University of St. Thomas,
斯坦陵布什大学,University of Stellenbosch,
萨福克大学,University of Suffolk,
苏丹穆莱伊苏莱曼大学,University of Sultan Moulay Slimane,
北苏门答腊大学,Universitas Sumatera Utara,1001-1200
桑德兰大学,University of Sunderland,
泗水大学,University of Surabaya,
南哥伦比亚大学,Universidad Surcolombiana,
斯瓦比大学,University of Swabi,
斯瓦特大学,University of Swat,
坦帕大学,The University of Tampa,
TecMilenio大学,Universidad Tec Milenio,
牙买加技术大学,"University of Technology, Jamaica",
沙捞越科技大学,University of Technology Sarawak,
悉尼科技大学学院,University of Technology Sydney College,
马纳比技术大学,Universidad Técnica de Manabí,
智利技术大学INACAP,Universidad Tecnológica de Chile INACAP,
佩雷拉科技大学,Universidad Tecnológica de Pereira,
秘鲁科技大学,Universidad Tecnológica del Perú S.A.C.,
UTE大学,Universidad Tecnológica Equinoccial,
国立技术大学,Universidad Tecnológica Nacional,1401+
马来西亚马六甲技术大学,Universiti Teknikal Malaysia Melaka,1201-1400
田纳西大学查塔努加分校,The University of Tennessee at Chattanooga,
田纳西大学诺克斯维尔分校,"The University of Tennessee, Knoxville",701-710
田纳西大学马丁分校,The University of Tennessee at Martin,
洛科高等技术大学,Université Tertiaire et Technologique LOKO,
德克萨斯大学圣安东尼奥健康科学中心,The University of Texas Health Science Center at San Antonio,
德克萨斯大学安德森癌症中心,The University of Texas M. D. Anderson Cancer Center,
德克萨斯大学帕米亚盆地分校,The University of Texas Permian Basin,
德克萨斯大学泰勒分校,The University of Texas at Tyler,
泰国商会大学,The University of the Thai Chamber of Commerce,
地拉那大学,University of Tirana,
托尔夸托•迪特拉大学,Universidad Torcuato Di Tella,1001-1200
图卢兹第一大学,Université Toulouse 1 Capitole,
的黎波里大学,University of Tripoli,
特里萨克蒂大学,Universitas Trisakti,1401+
巴拉那图尤蒂大学,Universidade Tuiuti do Paraná,
塔尔萨大学,The University of Tulsa,
敦阿都拉萨大学,Universiti Tun Abdul Razak,
图兹拉大学,University of Tuzla,
乌达雅纳大学,Universitas Udayana,
马来西亚北方大学,Universiti Utara Malaysia,540
乌特勒支大学,Universiteit Utrecht,
乌约大学,University of Uyo,
拉合尔兽医与动物科学大学,"University of Veterinary and Animal Sciences, Lahore",
维萨亚斯大学,University of the Visayas,
Wah大学,University of Wah,
威尔士大学,University of Wales,
威尔士三一圣大卫大学,University of Wales Trinity Saint David,
瓦尔马德瓦大学,Universitas Warmadewa,
西部大学,University of the West,
西阿拉巴马大学,University of West Alabama,
西英格兰大学-布里斯托,"University of the West of England, Bristol",
西佛罗里达大学,The University of West Florida,
西佐治亚大学,University of West Georgia,
西伦敦大学,University of West London,
西洛杉矶大学,University of West Los Angeles,
西苏格兰大学,University of the West of Scotland,
西安大略大学,The University of Western Ontario,
温彻斯特大学,The University of Winchester,
温尼伯大学,The University of Winnipeg,
威斯康星大学欧克莱尔分校,University of Wisconsin-Eau Claire,
威斯康星大学绿湾分校,University of Wisconsin-Green Bay,
威斯康星大学拉克罗斯分校,University of Wisconsin-La Crosse,
威斯康星大学奥什科什分校,University of Wisconsin-Oshkosh,
威斯康星大学帕克赛德分校,University of Wisconsin-Parkside,
威斯康星大学普拉特维尔分校,University of Wisconsin-Platteville,
威斯康星大学河城分校,University of Wisconsin-River Falls,
威斯康星大学史蒂文分校,University of Wisconsin-Stevens Point,
威斯康星大学斯托特分校,University of Wisconsin-Stout,
威斯康星大学苏必利尔分校,University of Wisconsin-Superior,
威斯康星大学白水分校,University of Wisconsin-Whitewater,
维滕/黑尔德克大学,Universität Witten/Herdecke,
金山大学,"University of the Witwatersrand, Johannesburg",
伍伦贡大学马来西亚,University of Wollongong Malaysia,
伍赛斯特大学,University of Worcester,
世界经济与外交大学,University of World Economy and Diplomacy,
仰光大学,University of Yangon,
祖鲁兰大学,University of Zululand,
普利莫斯卡大学,Univerza na Primorskem,
智者康斯坦丁大学,Univerzita Konštantína Filozofa v Nitre,
马杰伊·贝尔大学,Univerzita Mateja Bela v Banskej Bystrici,
帕尔杜比采大学,Univerzita Pardubice,
波兹南艺术大学,Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu,
波兹南经济大学,Uniwersytet Ekonomiczny w Poznaniu,
弗罗茨瓦夫经济大学,Uniwersytet Ekonomiczny we Wrocławiu,
波兹南密茨凯维奇大学,Uniwersytet im. Adama Mickiewicza w Poznaniu,
凯尔采大学,Uniwersytet Jana Kochanowskiego w Kielcach,
比得哥熙卡基米日维尔基大学,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,
居里夫人大学,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,
托伦哥白尼大学,Uniwersytet Mikołaja Kopernika w Toruniu,
格丁尼亚海事大学,Uniwersytet Morski w Gdyni,
肖邦音乐大学,Uniwersytet Muzyczny Fryderyka Chopina,
